init dataset ProcessedDataset
{'name': 'LightGCN', 'embedding_size': 64, 'n_layers': 3, 'device': device(type='cuda'), 'dataset': <dataset.ProcessedDataset object at 0x2b49c854a340>}
Epoch 91/1000, Loss: 0.098967, Time: 8.186s
Epoch 92/1000, Loss: 0.099255, Time: 8.169s
Epoch 93/1000, Loss: 0.099492, Time: 8.146s
Epoch 94/1000, Loss: 0.098734, Time: 8.178s
Epoch 95/1000, Loss: 0.095566, Time: 8.157s
Epoch 96/1000, Loss: 0.094850, Time: 8.190s
Epoch 97/1000, Loss: 0.094809, Time: 8.172s
Epoch 98/1000, Loss: 0.093394, Time: 8.192s
Epoch 99/1000, Loss: 0.094635, Time: 8.209s
Epoch 100/1000, Loss: 0.094607, Time: 8.189s
Validation result. Precision: 4.168%@20, Recall: 6.453%@20, NDCG: 6.655%@20, Time: 0.575s
Epoch 101/1000, Loss: 0.094002, Time: 8.144s
Epoch 102/1000, Loss: 0.093081, Time: 8.206s
Epoch 103/1000, Loss: 0.089572, Time: 8.123s
Epoch 104/1000, Loss: 0.089516, Time: 8.165s
Epoch 105/1000, Loss: 0.089283, Time: 8.155s
Epoch 106/1000, Loss: 0.089832, Time: 8.242s
Epoch 107/1000, Loss: 0.089327, Time: 8.171s
Epoch 108/1000, Loss: 0.088588, Time: 8.157s
Epoch 109/1000, Loss: 0.087748, Time: 8.183s
Epoch 110/1000, Loss: 0.086141, Time: 8.153s
Validation result. Precision: 4.109%@20, Recall: 6.440%@20, NDCG: 6.661%@20, Time: 0.578s
Epoch 111/1000, Loss: 0.086855, Time: 8.126s
Epoch 112/1000, Loss: 0.085847, Time: 8.131s
Epoch 113/1000, Loss: 0.085498, Time: 8.216s
Epoch 114/1000, Loss: 0.085081, Time: 8.246s
Epoch 115/1000, Loss: 0.082729, Time: 8.169s
Epoch 116/1000, Loss: 0.082443, Time: 8.146s
Epoch 117/1000, Loss: 0.083976, Time: 8.169s
Epoch 118/1000, Loss: 0.083028, Time: 8.161s
Epoch 119/1000, Loss: 0.082338, Time: 8.176s
Epoch 120/1000, Loss: 0.080837, Time: 8.143s
Validation result. Precision: 4.099%@20, Recall: 6.388%@20, NDCG: 6.597%@20, Time: 0.575s
Epoch 121/1000, Loss: 0.081339, Time: 8.097s
Epoch 122/1000, Loss: 0.079578, Time: 8.130s
Epoch 123/1000, Loss: 0.078033, Time: 8.196s
Epoch 124/1000, Loss: 0.078204, Time: 8.169s
Epoch 125/1000, Loss: 0.079219, Time: 8.136s
Epoch 126/1000, Loss: 0.077308, Time: 8.179s
Epoch 127/1000, Loss: 0.077019, Time: 8.153s
Epoch 128/1000, Loss: 0.076351, Time: 8.178s
Epoch 129/1000, Loss: 0.075654, Time: 8.191s
Epoch 130/1000, Loss: 0.074782, Time: 8.143s
Validation result. Precision: 4.120%@20, Recall: 6.314%@20, NDCG: 6.618%@20, Time: 0.576s
Epoch 131/1000, Loss: 0.074907, Time: 8.186s
Epoch 132/1000, Loss: 0.075207, Time: 8.195s
Epoch 133/1000, Loss: 0.075045, Time: 8.107s
Epoch 134/1000, Loss: 0.072003, Time: 8.180s
Epoch 135/1000, Loss: 0.072725, Time: 8.193s
Epoch 136/1000, Loss: 0.072483, Time: 8.138s
Epoch 137/1000, Loss: 0.071523, Time: 8.168s
Epoch 138/1000, Loss: 0.070663, Time: 8.160s
Epoch 139/1000, Loss: 0.072130, Time: 8.175s
Epoch 140/1000, Loss: 0.071383, Time: 8.211s
Validation result. Precision: 4.115%@20, Recall: 6.304%@20, NDCG: 6.557%@20, Time: 0.576s
Epoch 141/1000, Loss: 0.070296, Time: 8.093s
Epoch 142/1000, Loss: 0.070820, Time: 8.166s
Epoch 143/1000, Loss: 0.068743, Time: 8.221s
Epoch 144/1000, Loss: 0.069361, Time: 8.128s
Epoch 145/1000, Loss: 0.067413, Time: 8.163s
Epoch 146/1000, Loss: 0.067001, Time: 8.149s
Epoch 147/1000, Loss: 0.067106, Time: 8.197s
Epoch 148/1000, Loss: 0.067282, Time: 8.118s
Epoch 149/1000, Loss: 0.066734, Time: 8.149s
Epoch 150/1000, Loss: 0.066327, Time: 8.175s
Validation result. Precision: 4.067%@20, Recall: 6.195%@20, NDCG: 6.506%@20, Time: 0.574s
Epoch 151/1000, Loss: 0.065785, Time: 8.172s
Epoch 152/1000, Loss: 0.066296, Time: 8.154s
Epoch 153/1000, Loss: 0.064561, Time: 8.215s
Epoch 154/1000, Loss: 0.065361, Time: 8.176s
Epoch 155/1000, Loss: 0.063465, Time: 8.157s
Early stopping!
NDCG: 0.06729, Parameters: {'l2_reg': 0.0, 'lr': 0.001}
Maximum NDCG!
Maximum NDCG: 0.06729, Best Parameters: {'l2_reg': 0.0, 'lr': 0.001}
